iter	Passed	Remaining
209	53084	73307
210	53282	72979
211	53495	72673
212	53699	72355
213	53880	72008
214	54100	71714
215	54353	71464
216	54579	71180
217	54794	70881
218	55020	70596
219	55263	70335
220	55476	70036
221	55692	69741
222	55902	69439
223	56143	69176
224	56425	68965
225	56630	68657
226	56832	68349
227	57014	68017
228	57212	67705
229	57477	67473
230	57698	67190
231	57924	66912
232	58127	66610
233	58358	66339
234	58589	66069
235	58769	65742
236	58974	65444
237	59174	65141
238	59398	64865
239	59586	64552
240	59816	64284
241	60051	64021
242	60247	63718
243	60466	63439
244	60664	63140
245	60904	62884
246	61147	62633
247	61331	62320
248	61539	62033
249	61735	61735
250	61901	61408
251	62439	61448
252	62789	61300
253	63122	61134
254	63372	60887
255	63591	60611
256	63794	60319
257	63997	60028
258	64216	59753
259	64408	59453
260	64647	59198
261	64876	58933
262	65112	58675
263	65365	58433
264	65588	58163
265	65794	57879
266	65976	57574
267	66192	57301
268	66396	57016
269	66619	56749
270	66835	56477
271	67028	56185
272	67242	55912
273	67445	55630
274	67692	55384
275	67904	55110
276	68079	54807
277	68266	54515
278	68467	54234
279	68668	53953
280	68863	53669
281	69076	53399
282	69263	53110
283	69490	52851
284	69689	52572
285	69937	52330
286	70143	52057
287	70372	51802
288	70585	51534
289	70840	51297
290	71033	51017
291	71241	50747
292	71451	50479
293	71641	50197
294	71886	49955
295	72100	49691
296	72322	49432
297	72527	49162
298	72707	48876
299	72913	48609
300	73107	48333
301	73309	48063
302	73504	47789
303	73727	47534
304	73895	47244
305	74108	46983
306	74282	46698
307	74483	46431
308	74693	46170
309	74925	45922
310	75157	45674
311	75322	45386
312	75574	45151
313	75816	44910
314	76027	44650
315	76242	44394
316	76446	44131
317	76696	43895
318	76866	43614
319	77047	43339
320	77326	43119
321	77705	42955
322	77933	42706
323	78196	42477
324	78426	42229
325	78630	41968
326	78852	41717
327	79081	41469
328	79317	41225
329	79569	40990
330	79796	40742
331	80028	40496
332	80216	40228
333	80456	39987
334	80711	39753
335	80946	39509
336	81152	39251
337	81338	38984
338	81588	38748
339	81824	38505
340	82038	38252
341	82252	37999
342	82488	37757
343	82747	37525
344	82937	37261
345	83180	37022
346	83396	36771
347	83606	36517
348	83795	36255
349	84010	36004
350	84235	35757
351	84435	35501
352	84642	35247
353	84903	35016
354	85114	34765
355	85354	34525
356	85573	34277
357	85808	34035
358	86064	33802
359	86313	33566
360	86554	33327
361	86766	33076
362	86965	32821
363	87183	32573
364	87397	32325
365	87615	32077
366	87841	31833
367	88088	31597
368	88315	31353
369	88532	31106
370	88781	30870
371	88991	30620
372	89232	30381
373	89444	30133
374	89683	29894
375	89883	29642
376	90090	29392
377	90329	29153
378	90591	28922
379	90782	28668
380	90998	28422
381	91203	28172
382	91468	27942
383	91653	27686
384	91878	27444
385	92078	27194
386	92271	26942
387	92734	26768
388	93008	26539
389	93232	26296
390	93470	26057
391	93705	25816
392	93902	25566
393	94143	25327
394	94335	25076
395	94551	24831
396	94796	24594
397	95080	24367
398	95440	24159
399	95667	23916
400	95858	23665
401	96394	23499
402	96734	23283
403	97063	23064
404	97395	22845
405	97714	22623
406	98016	22396
407	98287	22162
408	98597	21937
409	98930	21716
410	99356	21515
411	99665	21287
412	99982	21061
413	100237	20822
414	100588	20602
415	100844	20362
416	101146	20132
417	101470	19905
418	101659	19652
419	102186	19464
420	102568	19246
421	102949	19028
422	103212	18788
423	103490	18550
424	103830	18323
425	104200	18100
426	104497	17864
427	104842	17637
428	105302	17427
429	105610	17192
430	105914	16956
431	106291	16731
432	106543	16485
433	106811	16243
434	106988	15986
435	107200	15735
436	107440	15489
437	107677	15242
438	107937	14998
439	108178	14751
440	108398	14502
441	108638	14255
442	108879	14009
443	109096	13759
444	109304	13509
445	109543	13263
446	109784	13016
447	109994	12767
448	110239	12521
449	110469	12274
450	110717	12029
451	110969	11784
452	111221	11539
453	111458	11293
454	111677	11045
455	111881	10795
456	112147	10552
457	112405	10307
458	112614	10059
459	112827	9811
460	113045	9563
461	113252	9315
462	113452	9066
463	113674	8819
464	113921	8574
465	114144	8328
466	114424	8085
467	114635	7838
468	114828	7589
469	115044	7343
470	115263	7096
471	115471	6849
472	115658	6602
473	115856	6354
474	116155	6113
475	116407	5869
476	116667	5625
477	116903	5380
478	117118	5134
479	117319	4888
480	117564	4643
481	117768	4397
482	117989	4152
483	118208	3907
484	118457	3663
485	118637	3417
486	118850	3172
487	119050	2927
488	119217	2681
489	119377	2436
490	119533	2191
491	119714	1946
492	119878	1702
493	120075	1458
494	120274	1214
495	120449	971
496	120623	728
497	120778	485
498	120982	242
499	121181	0
