iter	Logloss
0	0.6319921696
1	0.5933596802
2	0.565677428
3	0.5474712721
4	0.5311328046
5	0.5169678879
6	0.50555482
7	0.4973294376
8	0.48993718
9	0.4830363934
10	0.4766397249
11	0.4703226925
12	0.4645682394
13	0.459332907
14	0.4549408247
15	0.451484537
16	0.447233149
17	0.4426386895
18	0.4388645063
19	0.435184456
20	0.4313825631
21	0.4283391914
22	0.4250157652
23	0.4217787258
24	0.4193363017
25	0.4164650232
26	0.4135476493
27	0.4110928207
28	0.4085891493
29	0.406281549
30	0.404100517
31	0.4017220165
32	0.3992412939
33	0.3971613686
34	0.3947899903
35	0.3931326121
36	0.3911040956
37	0.389221119
38	0.3873415546
39	0.3856951681
40	0.3839771121
41	0.3824949686
42	0.3808601055
43	0.3792474394
44	0.377548178
45	0.3759956134
46	0.3743522628
47	0.3724287483
48	0.3708189717
49	0.3693861237
50	0.3678559401
51	0.3662417826
52	0.3645319451
53	0.3631162306
54	0.3612670945
55	0.3598218724
56	0.3584111858
57	0.3568032174
58	0.3555101464
59	0.354046727
60	0.3527277669
61	0.3514849179
62	0.3500483875
63	0.3487593606
64	0.3473402183
65	0.3459505459
66	0.3444277714
67	0.3431568763
68	0.3417218135
69	0.3404227895
70	0.3390150655
71	0.3378021621
72	0.3366007526
73	0.3352788787
74	0.33404821
75	0.3328516485
76	0.3317626477
77	0.3306685711
78	0.3296337163
79	0.3284844892
80	0.3274365011
81	0.3263678341
82	0.325312274
83	0.3243251813
84	0.3233580515
85	0.3222334887
86	0.3212819692
87	0.3203976899
88	0.3194035254
89	0.3185158919
90	0.3175694602
91	0.3165134462
92	0.3156106385
93	0.3146639137
94	0.3137408331
95	0.3126463718
96	0.3116496463
97	0.3108299065
98	0.309976114
99	0.3091385814
100	0.3083193022
101	0.3075896839
102	0.3066865311
103	0.3058888966
104	0.3050207578
105	0.3041749044
106	0.3033467873
107	0.3025531505
108	0.3017623967
109	0.3010492725
110	0.3002833704
111	0.2995327145
112	0.2987920753
113	0.2979566209
114	0.2972241283
115	0.2965116301
116	0.2958800466
117	0.2952047961
118	0.2944896257
119	0.2936545461
120	0.2928190954
121	0.292089601
122	0.29117421
123	0.2908204647
124	0.2901374938
125	0.2895212596
126	0.2887671367
127	0.2880636698
128	0.2873731984
129	0.2866723463
130	0.285909283
131	0.2851873401
132	0.2844463765
133	0.2838013376
134	0.2831558908
135	0.2824743834
136	0.2817676736
137	0.2811382543
138	0.2804273363
139	0.2797183634
140	0.2790456436
141	0.2781068482
142	0.2774384321
143	0.2768167922
144	0.2761405358
145	0.2754786148
146	0.2747823672
147	0.2742097339
148	0.273619796
149	0.2730329332
150	0.2723541215
151	0.2718326619
152	0.2713207368
153	0.2706928736
154	0.2701123737
155	0.2696284179
156	0.2694669813
157	0.2689159864
158	0.2683707404
159	0.2678494523
160	0.2672471958
161	0.266542011
162	0.266033702
163	0.2655284411
164	0.2650132625
165	0.2643372025
166	0.2637888152
167	0.2632268491
168	0.2627271663
169	0.2624289284
170	0.2619205852
171	0.2614433387
172	0.2609502873
173	0.2603841658
174	0.2599396071
175	0.2593822573
176	0.2588120949
177	0.2583064349
178	0.2578143439
179	0.2572918014
180	0.2568357277
181	0.2563768987
182	0.2558677938
183	0.2553430632
184	0.2549186347
185	0.2548418997
186	0.2543273188
187	0.2538096879
188	0.2533566564
189	0.2528366911
190	0.2523423903
191	0.2519827767
192	0.2518828975
193	0.2514151627
194	0.2510533105
195	0.2505961049
196	0.2500908477
197	0.2500192834
198	0.2494875813
199	0.249420681
200	0.2490171709
201	0.2486077206
202	0.2480998381
203	0.2475831829
204	0.2471502346
205	0.2467691488
206	0.2463168363
207	0.2457855806
208	0.2456209128
209	0.2452400299
210	0.2448220773
211	0.244337127
212	0.2440520377
213	0.2439741364
214	0.2435169848
215	0.2430851637
216	0.2426570809
217	0.2422783127
218	0.2418888442
219	0.241491295
220	0.2411310416
221	0.2406791072
222	0.240227955
223	0.2397885384
224	0.2394345674
225	0.2390762902
226	0.2387663231
227	0.2384939386
228	0.2381686117
229	0.2377153175
230	0.2375284634
231	0.237137332
232	0.2367986672
233	0.2363819022
234	0.2359819907
235	0.2359279125
236	0.235604059
237	0.2352663933
238	0.2348735415
239	0.2345275795
240	0.2340792919
241	0.2337305778
242	0.2334409596
